Time,us_web,us_youtube,ww_web,ww_youtube
2018-11-28T18,0.5,0.5,0.5,1
2018-11-28T19,0.5,0.5,0.5,1
2018-11-28T20,0.5,0,0.5,0
2018-11-28T21,0.5,0,0.5,0
2018-11-28T22,0.5,0.5,0.5,0.5
2018-11-28T23,0.5,0,0.5,0
2018-11-29T00,0.5,0,0.5,0
2018-11-29T01,0.5,0,0.5,0
2018-11-29T02,0.5,0,0.5,0
2018-11-29T03,0,1,0.5,0.5
2018-11-29T04,0,1,0.5,0.5
2018-11-29T05,0.5,0,0.5,0.5
2018-11-29T06,0,0,0.5,0
2018-11-29T07,0.5,0,0.5,0
2018-11-29T08,0,0,0.5,0
2018-11-29T09,0,0,0.5,0
2018-11-29T10,0.5,0.5,0.5,0.5
2018-11-29T11,0.5,0.5,0.5,0.5
2018-11-29T12,0.5,0.5,0.5,1
2018-11-29T13,0.5,0,0.5,0.5
2018-11-29T14,0,0,0.5,0
2018-11-29T15,0.5,0,0.5,0.5
2018-11-29T16,0.5,0.5,0.5,0.5
2018-11-29T17,0.5,0.5,0.5,0.5
2018-11-29T18,0.5,0,0.5,0
2018-11-29T19,0.5,0,0.5,0
2018-11-29T20,0.5,0,0.5,0
2018-11-29T21,0.5,0,1,0
2018-11-29T22,0.5,0.5,0.5,1
2018-11-29T23,0.5,0.5,0.5,0.5
2018-11-30T00,0.5,0,0.5,0
2018-11-30T01,0.5,0,0.5,0
2018-11-30T02,0.5,0,0.5,0
2018-11-30T03,0.5,1,0.5,0.5
2018-11-30T04,0.5,0,0.5,0.5
2018-11-30T05,0.5,0,0.5,0
2018-11-30T06,0.5,0,0.5,0.5
2018-11-30T07,0,0,0.5,0
2018-11-30T08,0.5,0,0.5,0
2018-11-30T09,0.5,0,0.5,0.5
2018-11-30T10,0.5,0,0.5,0
2018-11-30T11,0.5,0,0.5,0
2018-11-30T12,0.5,0,0.5,0
2018-11-30T13,0.5,0,0.5,0
2018-11-30T14,0.5,0,0.5,0
2018-11-30T15,0.5,0,0.5,0
2018-11-30T16,0.5,0.5,0.5,0.5
2018-11-30T17,0.5,0,0.5,0
2018-11-30T18,0.5,0,0.5,0
2018-11-30T19,0.5,0,0.5,0.5
2018-11-30T20,0.5,0,0.5,0
2018-11-30T21,0.5,0.5,0.5,0.5
2018-11-30T22,0.5,0,0.5,0.5
2018-11-30T23,0.5,0.5,0.5,1
2018-12-01T00,0.5,0,0,0
2018-12-01T01,0,0.5,0.5,0.5
2018-12-01T02,0.5,1,0.5,0.5
2018-12-01T03,0.5,0,0.5,0
2018-12-01T04,0,0,0.5,0
2018-12-01T05,0.5,0,0.5,0
2018-12-01T06,0,0,0,0.5
2018-12-01T07,0,0,0.5,0
2018-12-01T08,0,0,0.5,0
2018-12-01T09,0.5,0,0.5,0
2018-12-01T10,0,0,0.5,0.5
2018-12-01T11,0.5,0,0.5,0
2018-12-01T12,0.5,0,0.5,0.5
2018-12-01T13,0.5,0,0.5,0.5
2018-12-01T14,0.5,0,0.5,0
2018-12-01T15,0.5,0,0.5,0
2018-12-01T16,0.5,0,0.5,0
2018-12-01T17,0.5,0,0.5,0
2018-12-01T18,0.5,0,0.5,0
2018-12-01T19,0.5,0,0.5,0
2018-12-01T20,0.5,0.5,0.5,0.5
2018-12-01T21,0.5,0,0.5,0.5
2018-12-01T22,0.5,0,0.5,0.5
2018-12-01T23,0.5,0,0.5,0.5
2018-12-02T00,0.5,0,0.5,0
2018-12-02T01,0.5,0,0.5,0.5
2018-12-02T02,0.5,0.5,0.5,0.5
2018-12-02T03,0.5,1,0.5,0.5
2018-12-02T04,0,0,0.5,0
2018-12-02T05,0,0,0.5,0.5
2018-12-02T06,0.5,0,0.5,0
2018-12-02T07,0.5,0,0.5,0
2018-12-02T08,0,0,0.5,0.5
2018-12-02T09,0,0,0.5,0.5
2018-12-02T10,0.5,0,0.5,0.5
2018-12-02T11,0.5,0,0.5,0
2018-12-02T12,0.5,0,0.5,0
2018-12-02T13,0.5,0,0.5,0.5
2018-12-02T14,0.5,0,0.5,0.5
2018-12-02T15,0.5,0,0.5,0
2018-12-02T16,0.5,0,0.5,0.5
2018-12-02T17,0.5,0.5,0.5,0.5
2018-12-02T18,0.5,0,0.5,0
2018-12-02T19,0.5,0.5,0.5,0.5
2018-12-02T20,0.5,0,0.5,0
2018-12-02T21,0.5,0,0.5,0
2018-12-02T22,0,0.5,0.5,0.5
2018-12-02T23,0.5,0,0.5,0
2018-12-03T00,0.5,0.5,0.5,1
2018-12-03T01,0,0,0.5,0
2018-12-03T02,0,0,0.5,0.5
2018-12-03T03,0,0,0.5,0
2018-12-03T04,0,0,0.5,0.5
2018-12-03T05,0,0,0.5,0
2018-12-03T06,0.5,0,0.5,0
2018-12-03T07,0.5,0.5,0.5,0.5
2018-12-03T08,0.5,0,0.5,0
2018-12-03T09,0.5,0,0.5,0
2018-12-03T10,0.5,0,0.5,0.5
2018-12-03T11,0.5,0,0.5,0
2018-12-03T12,0.5,0,0.5,0.5
2018-12-03T13,0.5,0.5,0.5,0.5
2018-12-03T14,0.5,0,0.5,0
2018-12-03T15,0.5,0.5,0.5,0.5
2018-12-03T16,0.5,0,0.5,0
2018-12-03T17,0.5,0,0.5,0.5
2018-12-03T18,0.5,0,0.5,0.5
2018-12-03T19,0.5,0,0.5,0
2018-12-03T20,0.5,0.5,0.5,0.5
2018-12-03T21,0.5,0.5,0.5,0.5
2018-12-03T22,0.5,0.5,0.5,0.5
2018-12-03T23,0.5,0.5,1,0.5
2018-12-04T00,0.5,0,0.5,0
2018-12-04T01,0.5,0,0.5,0
2018-12-04T02,0,0,0.5,0.5
2018-12-04T03,1,0,0.5,0
2018-12-04T04,1,0,0.5,0
2018-12-04T05,0.5,1,0.5,0.5
2018-12-04T06,0,0,0,0
2018-12-04T07,0,0,0.5,0
2018-12-04T08,0,0,0.5,0
2018-12-04T09,0.5,0,0.5,0
2018-12-04T10,0.5,0,0.5,0
2018-12-04T11,0.5,0,0.5,0
2018-12-04T12,0.5,0,0.5,0.5
2018-12-04T13,0.5,0,0.5,0.5
2018-12-04T14,0.5,0,0.5,0
2018-12-04T15,0.5,0,0.5,0.5
2018-12-04T16,1,0.5,2,1
2018-12-04T17,10,4,28,16
2018-12-04T18,15,11,39,36
2018-12-04T19,22,15,51,48
2018-12-04T20,24,13,63,45
2018-12-04T21,28,16,63,51
2018-12-04T22,33,22,72,64
2018-12-04T23,40,29,76,73
2018-12-05T00,42,42,64,84
2018-12-05T01,56,67,67,94
2018-12-05T02,48,68,58,87
2018-12-05T03,54,75,50,68
2018-12-05T04,52,57,54,57
2018-12-05T05,56,80,74,59
2018-12-05T06,100,98,75,77
2018-12-05T07,90,84,88,82
2018-12-05T08,75,90,100,83
2018-12-05T09,60,100,96,100
2018-12-05T10,55,82,91,95
2018-12-05T11,40,68,81,79
2018-12-05T12,30,46,77,67
2018-12-05T13,27,43,76,76
2018-12-05T14,25,32,73,68
2018-12-05T15,23,27,71,66
2018-12-05T16,23,22,71,62
2018-12-05T17,19,20,68,72